,zip_code,week_number,week_start,week_end,tests_weekly,tests_cumulative,test_rate_weekly,test_rate_cumulative,percent_tested_positive_weekly,percent_tested_positive_cumulative,deaths_weekly,deaths_cumulative,death_rate_weekly,death_rate_cumulative,population,row_id,zip_code_location,:@computed_region_rpca_8um6,:@computed_region_vrxf_vc4k,:@computed_region_6mkv_f3dw,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,cases_weekly,cases_cumulative,case_rate_weekly,case_rate_cumulative
112,60615,5,2021-01-31T00:00:00.000,2021-02-06T00:00:00.000,2068,54788,4975.6,131819.2,0.026,0.039,1,33,2.4,79.4,41563,60615-2021-5,"{'type': 'Point', 'coordinates': [-87.602725, 41.801993]}",10,8,21192,147,33,47,1928,113.1,4638.7
113,60615,6,2021-02-07T00:00:00.000,2021-02-13T00:00:00.000,2120,56908,5100.7,136919.9,0.011,0.038,1,34,2.4,81.8,41563,60615-2021-6,"{'type': 'Point', 'coordinates': [-87.602725, 41.801993]}",10,8,21192,147,33,19,1947,45.7,4684.5
114,60615,8,2021-02-21T00:00:00.000,2021-02-27T00:00:00.000,2304,61098,5543.4,147000.9,0.01,0.036,1,36,2.4,86.6,41563,60615-2021-8,"{'type': 'Point', 'coordinates': [-87.602725, 41.801993]}",10,8,21192,147,33,18,1985,43.3,4775.9
115,60615,9,2021-02-28T00:00:00.000,2021-03-06T00:00:00.000,2288,63386,5504.9,152505.8,0.007,0.035,0,36,0,86.6,41563,60615-2021-9,"{'type': 'Point', 'coordinates': [-87.602725, 41.801993]}",10,8,21192,147,33,12,1997,28.9,4804.8
116,60666,6,2021-02-07T00:00:00.000,2021-02-13T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,60666-2021-6,"{'type': 'Point', 'coordinates': [-87.896371, 41.979511]}",38,75,16197,668,29,,,,
117,60606,48,2020-11-22T00:00:00.000,2020-11-28T00:00:00.000,176,4277,5675.6,137923.3,0.119,0.076,0,1,0,32.2,3101,60606-2020-48,"{'type': 'Point', 'coordinates': [-87.63676, 41.882634]}",46,38,14914,92,36,12,170,387,5482.1
118,60606,9,2021-02-28T00:00:00.000,2021-03-06T00:00:00.000,217,6865,6997.7,221380.2,0.018,0.066,0,3,0,96.7,3101,60606-2021-9,"{'type': 'Point', 'coordinates': [-87.63676, 41.882634]}",46,38,14914,92,36,4,274,129,8835.9
119,60607,5,2021-01-31T00:00:00.000,2021-02-06T00:00:00.000,1513,43370,5113,146564.8,0.02,0.048,0,8,0,27,29591,60607-2021-5,"{'type': 'Point', 'coordinates': [-87.652727, 41.876104]}",44,29,14917,87,26,21,2227,71,7525.9
120,60608,21,2020-05-17T00:00:00.000,2020-05-23T00:00:00.000,986,5384,1244.9,6797.6,0.203,0.276,4,43,5.1,54.3,79205,60608-2020-21,"{'type': 'Point', 'coordinates': [-87.670366, 41.849879]}",43,33,14920,126,26,173,1554,218.4,1962
121,60634,10,2020-03-01T00:00:00.000,2020-03-07T00:00:00.000,4,4,5.3,5.3,0.000,0.000,0,0,0.0,0.0,75995,60634-2020-10,"{'type': 'Point', 'coordinates': [-87.797373, 41.944967]}",52,17,22254,396,19,,,,
