Name,Location ,Status,Date,,
Bad Hunter,West Loop,Permanently closed,Jun-20,,
Blackbird ,West Loop,Permanently closed,Jun-20,,
Bonci,Wicker Park,Permanently closed,Jun-20,,
Café Cancale,Wicker Park,Permanently closed,Jun-20,,
Basilico,Norridge,Permanently closed,Jun-20,,
Pitchfork Food and Saloon,Irving Park,Permanently closed,Jun-20,,
Yolk,River North ,Permanently closed,Jun-20,,
Birdge Coffe Company,The loop,Permanently closed,Jun-20,,
Clever Rabit,Wicker Park,Permanently closed,Jun-20,,
Chez Benoit ,Highland Park,Permanently closed,Jun-20,,
Hot G Dog ,Anderson ville ,Permanently closed,Jun-20,,
Tinto Y Tapas,Belmont,Permanently closed,Jun-20,,
Machu Picchu,Lakeview,Permanently closed,Jun-20,,
Davanti Enoteca ,Little Italy,Permanently closed,Jun-20,,
Tow Lights Seafood & Oyster,Old Town,Permanently closed,Jun-20,,
25 Degrees,River North ,Permanently closed,Jun-20,,
Pepper Canister,River North ,Permanently closed,Jun-20,,
Mity Nice,Streetville,Permanently closed,Jun-20,,
La Bella Pasteria,Oak Park,Permanently closed,Jun-20,,
Pippin's Tavern ,Gold Coast,Permanently closed,Jun-20,,
Fahlstrom's Fresh Market,Lakeview,Permanently closed,Jun-20,,
Nini's Deli ,Noble Square,Permanently closed,Jun-20,,
Chicago House of 'Za,North Center,Permanently closed,Jun-20,,
Congas ,Norwood Park,Permanently closed,Jun-20,,
California Clipper,Humbolt Park,Permanently closed,Jun-20,,
Taqueria Sabor y Sazon,Pilsen,Permanently closed,Jun-20,,
Monty's Tap,River North ,Permanently closed,Jun-20,,
Trattoria No.10,The loop,Permanently closed,Jun-20,,
Mesa Urbana,Glenview,Permanently closed,Jun-20,,
Mable's Table,Bucktown,Permanently closed,May-20,,
Ditka's ,Gold Coast,Permanently closed,May-20,,
Stone Creek Coffee ,Lakeview,Permanently closed,May-20,,
Simply It ,Lincoln Park,Permanently closed,May-20,,
Taproom,Logan Square,Permanently closed,May-20,,
Habana Libre,Noble Square,Permanently closed,May-20,,
Katana,River North ,Permanently closed,May-20,,
Nacional 27,River North ,Permanently closed,May-20,,
Links Taproom,Wicker Park,Permanently closed,May-20,,
The Delta,Wicker Park,Permanently closed,May-20,,
Baobab BBQ ,Bowmanville,Permanently closed,May-20,,
Luella's Gospel Bird,Bucktown,Permanently closed,May-20,,
Mindy's Hot Chocolate,Bucktown,Permanently closed,May-20,,
Toast,Bucktown,Permanently closed,May-20,,
Income Tax,Edgewater,Permanently closed,May-20,,
Vanille Patisserie,Hyde Park,Permanently closed,May-20,,
Vosges Haut Chocolat ,Lincoln Park,Permanently closed,May-20,,
Jeri's Grill,Lincoln Square,Permanently closed,May-20,,
Monty Gael's Tavern and Grill,North Center,Permanently closed,May-20,,
Fat Rice,Logan Square,Permanently closed,May-20,,
The Windsor,Streetville,Permanently closed,May-20,,
D.O.C Wine Bar,Lombard,Permanently closed,May-20,,
The Front Room,West Loop,Permanently closed,May-20,,
