week_number,week_start,week_end,tests_weekly,tests_cumulative,test_rate_weekly,test_rate_cumulative,percent_tested_positive_weekly,percent_tested_positive_cumulative,deaths_weekly,deaths_cumulative,death_rate_weekly,death_rate_cumulative,population,row_id,zip_code_location,:@computed_region_rpca_8um6,:@computed_region_vrxf_vc4k,:@computed_region_6mkv_f3dw,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,cases_weekly,cases_cumulative,case_rate_weekly,case_rate_cumulative
9,2021-02-28T00:00:00.000,2021-03-06T00:00:00.000,1764,86968.0,2483.7,122450.5,0.044,0.112,1.0,115.0,1.4,161.9,71023,60641-2021-9,"{'type': 'Point', 'coordinates': [-87.746791, 41.946682]}",21,15,22618,139,21,59,8167,83.1,11499.1
49,2020-11-29T00:00:00.000,2020-12-05T00:00:00.000,956,18753.0,4732.4,92832.0,0.088,0.068,1.0,17.0,5.0,84.2,20201,60642-2020-49,"{'type': 'Point', 'coordinates': [-87.657821, 41.899935]}",49,25,22620,109,46,80,1192,396.0,5900.7
50,2020-12-06T00:00:00.000,2020-12-12T00:00:00.000,966,19719.0,4781.9,97614.0,0.084,0.068,1.0,18.0,5.0,89.1,20201,60642-2020-50,"{'type': 'Point', 'coordinates': [-87.657821, 41.899935]}",49,25,22620,109,46,66,1258,326.7,6227.4
51,2020-12-13T00:00:00.000,2020-12-19T00:00:00.000,1198,20917.0,5930.4,103544.4,0.056,0.068,0.0,18.0,0.0,89.1,20201,60642-2020-51,"{'type': 'Point', 'coordinates': [-87.657821, 41.899935]}",49,25,22620,109,46,70,1328,346.5,6573.9
52,2020-12-20T00:00:00.000,2020-12-26T00:00:00.000,984,21901.0,4871.0,108415.4,0.055,0.067,1.0,19.0,5.0,94.1,20201,60642-2020-52,"{'type': 'Point', 'coordinates': [-87.657821, 41.899935]}",49,25,22620,109,46,48,1376,237.6,6811.5
53,2020-12-27T00:00:00.000,2021-01-02T00:00:00.000,764,22665.0,3782.0,112197.4,0.081,0.068,1.0,20.0,5.0,99.0,20201,60642-2020-53,"{'type': 'Point', 'coordinates': [-87.657821, 41.899935]}",49,25,22620,109,46,53,1429,262.4,7073.9
1,2021-01-03T00:00:00.000,2021-01-09T00:00:00.000,955,23620.0,4727.5,116924.9,0.096,0.069,0.0,20.0,0.0,99.0,20201,60642-2021-1,"{'type': 'Point', 'coordinates': [-87.657821, 41.899935]}",49,25,22620,109,46,84,1513,415.8,7489.7
10,2021-03-07T00:00:00.000,2021-03-13T00:00:00.000,676,29476.0,3346.4,145913.6,0.047,0.064,0.0,22.0,0.0,108.9,20201,60642-2021-10,"{'type': 'Point', 'coordinates': [-87.657821, 41.899935]}",49,25,22620,109,46,28,1771,138.6,8766.9
11,2021-03-14T00:00:00.000,2021-03-20T00:00:00.000,718,30194.0,3554.3,149467.8,0.045,0.064,0.0,22.0,0.0,108.9,20201,60642-2021-11,"{'type': 'Point', 'coordinates': [-87.657821, 41.899935]}",49,25,22620,109,46,29,1800,143.6,8910.4
12,2021-03-21T00:00:00.000,2021-03-27T00:00:00.000,723,30917.0,3579.0,153046.9,0.075,0.064,0.0,22.0,0.0,108.9,20201,60642-2021-12,"{'type': 'Point', 'coordinates': [-87.657821, 41.899935]}",49,25,22620,109,46,53,1853,262.4,9172.8
2,2021-01-10T00:00:00.000,2021-01-16T00:00:00.000,819,24439.0,4054.3,120979.2,0.061,0.068,0.0,20.0,0.0,99.0,20201,60642-2021-2,"{'type': 'Point', 'coordinates': [-87.657821, 41.899935]}",49,25,22620,109,46,51,1564,252.5,7742.2
3,2021-01-17T00:00:00.000,2021-01-23T00:00:00.000,658,25097.0,3257.3,124236.4,0.052,0.068,0.0,20.0,0.0,99.0,20201,60642-2021-3,"{'type': 'Point', 'coordinates': [-87.657821, 41.899935]}",49,25,22620,109,46,32,1596,158.4,7900.6
12,2020-03-15T00:00:00.000,2020-03-21T00:00:00.000,25,28.0,90.6,101.5,0.0,0.0,0.0,0.0,0.0,0.0,27579,60656-2020-12,"{'type': 'Point', 'coordinates': [-87.817934, 41.974566]}",31,36,4448,735,29,4,5,14.5,18.1
5,2021-01-31T00:00:00.000,2021-02-06T00:00:00.000,618,26382.0,3059.3,130597.5,0.057,0.068,0.0,20.0,0.0,99.0,20201,60642-2021-5,"{'type': 'Point', 'coordinates': [-87.657821, 41.899935]}",49,25,22620,109,46,28,1672,138.6,8276.8
6,2021-02-07T00:00:00.000,2021-02-13T00:00:00.000,629,27011.0,3113.7,133711.2,0.038,0.067,0.0,20.0,0.0,99.0,20201,60642-2021-6,"{'type': 'Point', 'coordinates': [-87.657821, 41.899935]}",49,25,22620,109,46,28,1700,138.6,8415.4
20,2020-05-10T00:00:00.000,2020-05-16T00:00:00.000,967,4190.0,1024.4,4438.8,0.169,0.22,6.0,31.0,6.4,32.8,94395,60618-2020-20,"{'type': 'Point', 'coordinates': [-87.703343, 41.946699]}",39,16,21538,372,20,136,964,144.1,1021.2
